Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Memmingen,Kreisfreie Stadt,5,67%,https://www.memmingen.de/aktuell/nachrichten-und-termine/aktuelle-nachrichten/singlenews-aktuelles/news/detail/News/erster-corona-fall-im-stadtgebiet.html,"https://www.merzig-wadern.de/Kurzmenü/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",18/03/2020 22:000,8,,,,,3/19/2020 15:13,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Merzig-Wadern,Landkreis,11,10%,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 00:00,11,,,,,,,,0,,,,,,,,,10
Mettmann,Kreis,87,40%,https://www.kreis-mettmann.de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,18/03/2020 14:00,86,,,,,,,,1,,,,,,,,,5
Miesbach,Landkreis,44,38%,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus/index.php?object=tx%7c2823.1593.1&NavID=2823.148&La=1,18/03/2020 20:40,47,,,,,3/19/2020 15:13,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Miltenberg,Landkreis,15,200%,"https://www.miltenberg.de/#/de/stadt-miltenberg/default/search/Event/city%3A%22Miltenberg%22/view:list/sort:chronological/mode:next_days,3/calView:month",https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={3174651E-8A75-4EDC-8D54-74BBBE9CF8F0},18/03/2020 20:00,15,,,,,3/19/2020 15:13,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Minden-Lübbecke,Kreis,98,13%,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2977.1&NavID=2832.1,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2995.1&NavID=2832.1,19/03/2020 00:00,98,,,,,,,,0,,,,,,,,,5
Mittelsachsen,Landkreis,13,117%,https://www.landkreis-mittelsachsen.de/corona,https://www.landkreis-mittelsachsen.de/corona.html,18/03/2020 18:00,13,,37,,,,,,0,,,,,,,,,14
Mönchengladbach,Kreisfreie Stadt,46,5%,http://www.notfallmg.de/de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,51,,,,,,,,1,,,,,,,,,5
Mühldorf a. Inn,Landkreis,10,900%,https://www.lra-mue.de/buergerservice.html,https://www.lra-mue.de/asset/8A356222-9216-4C8B-94F108B4696ACA9C/,18/03/2020 20:40,10,,,,,3/19/2020 15:17,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Mülheim an der Ruhr,Kreisfreie Stadt,21,31%,https://www.muelheim-ruhr.de/cms/fragen_und_antworten_zum_corona-virus.html?fuid=aefaab3fc99d3b0c1b5547a1c0512a83#aktuell,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,30,,,,,,https://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,1,,,,,,,,,5
München,Kreisfreie Stadt,509,96%,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,19/03/2020 00:00,676,,,,,3/19/2020 15:17,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,@LunaticMax,1,,,,,,,,,9
München,Landkreis,103,37%,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,19/03/2020 00:00,321,,,,,3/19/2020 15:17,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,@LunaticMax,1,,,,,,,,,9
Münster,Kreisfreie Stadt,135,31%,bezreg-muenster.de/de/im_fokus/uebergreifende_themen/coronavirus/coronavirus_allgemein/index.html,https://www.muenster.de/,18/03/2020 13:00,135,5,,,,3/19/2020 15:31,https://www.muenster.de/,,0,,,,,,,,,5
Neckar-Odenwald-Kreis,Landkreis,19,46%,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,19/03/2020 00:00,19,,,,,,,,0,,,,,,,,,8
Neu-Ulm,Landkreis,17,70%,https://landkreis.neu-ulm.de/de/aktuelles-detail/coronavirus-ein-neuer-fall-im-landkreis-neu-ulm-gemeldet.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,19,,,,,3/19/2020 15:20,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Neuburg-Schrobenhausen,Landkreis,9,200%,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,19/03/2020 00:00,9,,,,,,,,0,,,,,,,,,9
Neumarkt i.d. OPf.,Landkreis,17,55%,https://www.landkreis-neumarkt.de/hp794/Aktuelles.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,18,,,,,3/19/2020 15:20,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Neumünster,Kreisfreie Stadt,3,200%,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,19/03/2020 00:04,3,,,,,,,,0,,,,,,,,,1
Neunkirchen,Landkreis,22,69%,https://www.neunkirchen.de/index.php?id=corona,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 00:00,22,,,,,,,,0,,,,,,,,,10
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,6,50%,https://www.kreis-nea.de/amt-verwaltung/veroeffentlichungen/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,4,,,,,3/19/2020 15:20,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Neustadt a.d. Waldnaab,Landkreis,2,100%,https://www.facebook.com/Landratsamt.Neustadt.WN,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,2,,,,,3/19/2020 15:20,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Neustadt an der Weinstraße,Kreisfreie Stadt,7,40%,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,18/03/2020,7,,,,,,,,0,,,,,,,,,7
Neuwied,Landkreis,36,0%,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,19/03/2020 00:00,46,,,,,3/19/2020 15:44:43,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/Informationen%20zu%20Corona/Corona/,@passix_,1,,,,,,,,,7
Nienburg (Weser),Landkreis,6,0%,https://www.niedersachsen.de/Coronavirus,https://www.niedersachsen.de/Coronavirus,19/03/2020 00:00,6,,,,,,,,0,,,,,,,,,3
Nordfriesland,Kreis,10,400%,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,19/03/2020 00:05,10,,,,,,,,0,,,,,,,,,1
Nordhausen,Landkreis,2,0%,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,18/03/2020 22:20,2,,,,,,,,0,,,,,,,,,16
Nordsachsen,Landkreis,6,0%,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,19/03/2020 00:00,6,,,,,,,,0,,,,,,,,,14
Nordwestmecklenburg,Landkreis,4,33%,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,19/03/2020 00:00,4,,,,,,,,0,,,,,,,,,13
Northeim,Landkreis,7,0%,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,19/03/2020 00:00,13,,,,,,https://www.landkreis-northeim.de/portal/meldungen/entwicklung-des-infektionsgeschehens-19-03-2020--900001781-23900.html?rubrik=900000047,@distanzreiter,1,,,,,,,,,3
Nürnberg,Kreisfreie Stadt,53,89%,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,19/03/2020 00:00,53,,,,,3/19/2020 15:24,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,@LunaticMax,0,,,,,,,,,9
Nürnberger Land,Landkreis,23,44%,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,https://landkreis.nuernberger-land.de/index.php?id=6079,18/03/2020 15:30,23,,,,,3/19/2020 15:24,https://landkreis.nuernberger-land.de/index.php?id=6079,@LunaticMax,0,,,,,,,,,9
Oberallgäu,Landkreis,35,6%,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 21:50,42,,,,2,3/19/2020 15:24,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,@LunaticMax,1,,,,,,,,,9
Oberbergischer Kreis,Kreis,51,2%,http://www.oberbergischer-kreis.de/cms200/startseite/,http://www.oberbergischer-kreis.de/cms200/aktuelles/pressemitteilungen/artikel/68903/index.shtml,19/03/2020 00:20,51,,,,,,,,0,,,,,,,,,5
Oberhausen,Kreisfreie Stadt,18,38%,https://www.oberhausen.de/de/index.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,26,,,,,,,,1,,,,,,,,,5
Oberhavel,Landkreis,13,160%,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,19/03/2020 00:00,13,,,,,,,,0,,,,,,,,,12
Oberspreewald-Lausitz,Landkreis,5,0%,http://www.osl-online.de/news/index.php?rubrik=1,http://www.osl-online.de/news/index.php?rubrik=1,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,12
Odenwaldkreis,Landkreis,8,14%,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2191&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b0b9d51ec2c8419190d90b958dd40c06,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,8,,,,,,,,0,,,,,,,,,6
Oder-Spree,Landkreis,23,64%,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,19/03/2020 00:00,23,,,,,,,,0,,,,,,,,,12
Offenbach,Landkreis,35,52%,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Kreisverwaltung-schlie%C3%9Ft-f%C3%BCr-das-Publikum-komplett.php?object=tx,2896.5&ModID=7&FID=2896.8447.1&NavID=2896.1061&La=1",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,35,,,,,,,,0,,,,,,,,,6
Offenbach am Main,Kreisfreie Stadt,5,0%,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,6
Oldenburg,Landkreis,9,13%,https://www.oldenburg-kreis.de/portal/startseite.html,https://www.oldenburg-kreis.de/portal/startseite.html,19/03/2020 00:00,9,,,,,,,,0,,,,,,,,,3
Oldenburg (Oldb),Kreisfreie Stadt,26,4%,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,19/03/2020 00:00,30,,,,,,,,1,,,,,,,,,3
Olpe,Kreis,14,0%,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1","https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1",19/03/2020 00:00,14,,,,,,,,0,,,,,,,,,5
Ortenaukreis,Landkreis,60,22%,https://www.ortenaukreis.de/corona,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,18.03.2020,60,,,,,,,,0,,,,,,,,,8
Osnabrück,Kreisfreie Stadt,62,15%,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,18/03/2020 13:45,74,,,,,,,,1,,,,,,,,,3
Osnabrück,Landkreis,61,30%,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,18/03/2020,83,,,,,,,,1,,,,,,,,,3
Ostalbkreis,Landkreis,109,14%,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,18/03/2020 19:35,109,,,,,,,,0,,,,,,,,,8
Ostallgäu,Landkreis,16,14%,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 21:50,16,,,,,3/19/2020 15:24,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Osterholz,Landkreis,20,0%,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012,https://www.landkreis-osterholz.de/portal/meldungen/landkreis-gibt-nochmals-allgemeine-hinweise-zum-umgang-mit-dem-coronavirus-901005077-21000.html?rubrik=901000054,19/03/2020 00:00,20,,,,,,,,0,,,,,,,,,3
Ostholstein,Kreis,4,0%,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255","https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",19/03/2020 00:06,4,,,,,,,,0,,,,,,,,,1
Ostprignitz-Ruppin,Landkreis,1,NEU,https://www.ostprignitz-ruppin.de/,https://www.ostprignitz-ruppin.de/,19/03/2020 00:00,1,,,,,,,,0,,,,,,,,,12
Paderborn,Kreis,59,13%,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,19/03/2020 00:00,59,,,,,,,,0,,,,,,,,,5
Passau,Kreisfreie Stadt,4,33%,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,19/03/2020 00:00,5,,,,,3/19/2020 15:24,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Passau,Landkreis,19,27%,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,19/03/2020 00:00,22,,,,,3/19/2020 15:24,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Peine,Landkreis,8,0%,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1","https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",19/03/2020 00:00,8,,,,,,,,0,,,,,,,,,3
Pfaffenhofen a.d. Ilm,Landkreis,16,45%,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,19/03/2020 00:00,19,,,,,3/19/2020 15:29,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Pforzheim,Stadtkreis,7,0%,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1","https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",19/03/2020 00:00,7,,,,,,,,0,,,,,,,,,8
Pinneberg,Kreis,54,20%,https://www.kreis-pinneberg.de/Coronavirus.html,https://www.kreis-pinneberg.de/Coronavirus.html,19/03/2020 00:07,60,,,,,,,,1,,,,,,,,,1
Pirmasens,Kreisfreie Stadt,0,,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,19/03/2020 00:00,0,,,,,,,,0,,,,,,,,,7
Plön,Kreis,8,33%,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,19/03/2020 00:08,8,,,,,,,,0,,,,,,,,,1
Potsdam,Kreisfreie Stadt,17,31%,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,19/03/2020 00:00,17,,,,,,,,0,30 in PNN aber kann nicht die offiziell wert finden,,,,,,,,12
Potsdam-Mittelmark,Landkreis,14,75%,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,19/03/2020 00:00,14,,,,,,,,0,24 in PNN aber gleich,,,,,,,,12
Prignitz,Landkreis,1,NEU,https://www.landkreis-prignitz.de/de/aktuelles/index.php,https://www.landkreis-prignitz.de/de/aktuelles/index.php,18/03/2020 19:35,1,,,,,,,,0,,,,,,,,,12
Rastatt,Landkreis,58,49%,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,19/03/2020 00:00,60,,,,,,,,1,,,,,,,,,8
Ravensburg,Landkreis,93,33%,https://www.rv.de/Startseite,https://www.rv.de/Startseite,18.03.2020 19:45,93,,,,,,,,0,,,,,,,,,8
Recklinghausen,Kreis,70,11%,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,19/03/2020 00:00,80,,,,,,https://www.bezreg-muenster.de/de/presse/2020/2020-03-06_corona-infektionen/index.html,,1,,,,,,,,,5
Regen,Landkreis,20,11%,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,19/03/2020 00:00,20,,,,,3/19/2020 15:36,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Regensburg,Kreisfreie Stadt,38,124%,https://www.regensburg.de/aktuelles/coronavirus/bestaetigte-covid-19-faelle,https://www.regensburg.de/aktuelles/coronavirus,18/03/2020 21:50,62,,,,,3/19/2020 15:36,https://www.regensburg.de/aktuelles/coronavirus/bestaetigte-covid-19-faelle,@LunaticMax,1,,,,,,,,,9
Regensburg,Landkreis,27,42%,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,18/03/2020 21:50,56,,,,,3/19/2020 15:36,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,@LunaticMax,1,,,,,,,,,9
Region Hannover,Landkreis,173,25%,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,18/03/2020 17:33,188,,,,,19/03/2020 12:00,,,1,,,,,,,,,3
Regionalverband Saarbrücken,Landkreis,63,133%,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/aktuell-27-bestaetigte-coronavirus-erkrankte-im-regionalverband/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=dbd9b39722210833eabe8e14303aafd1,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,19/03/2020 00:00,63,,,,,,,,0,,,,,,,,,10
Rems-Murr-Kreis,Landkreis,68,26%,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,18.03.2020 18:15,68,,,,,,,,0,,,,,,,,,8
